Rank,Title,Score,Episodes,Airing
1,Fullmetal Alchemist: Brotherhood,9.13,TV (64 eps),Apr 2009 - Jul 2010
2,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.13,TV (13 eps),Apr 2022 - Jun 2022
3,Gintama°,9.08,TV (51 eps),Apr 2015 - Mar 2016
4,Steins;Gate,9.08,TV (24 eps),Apr 2011 - Sep 2011
5,Shingeki no Kyojin Season 3 Part 2,9.07,TV (10 eps),Apr 2019 - Jul 2019
6,Gintama',9.05,TV (51 eps),Apr 2011 - Mar 2012
7,Gintama: The Final,9.05,Movie (1 eps),Jan 2021 - Jan 2021
8,Gintama': Enchousen,9.04,TV (13 eps),Oct 2012 - Mar 2013
9,Hunter x Hunter (2011),9.04,TV (148 eps),Oct 2011 - Sep 2014
10,Fruits Basket: The Final,9.03,TV (13 eps),Apr 2021 - Jun 2021
11,Ginga Eiyuu Densetsu,9.03,OVA (110 eps),Jan 1988 - Mar 1997
12,Gintama.,8.99,TV (12 eps),Jan 2017 - Mar 2017
13,3-gatsu no Lion 2nd Season,8.95,TV (22 eps),Oct 2017 - Mar 2018
14,Gintama,8.95,TV (201 eps),Apr 2006 - Mar 2010
15,Koe no Katachi,8.95,Movie (1 eps),Sep 2016 - Sep 2016
16,Clannad: After Story,8.94,TV (24 eps),Oct 2008 - Mar 2009
17,Violet Evergarden Movie,8.94,Movie (1 eps),Sep 2020 - Sep 2020
18,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.93,Movie (1 eps),Jul 2013 - Jul 2013
19,Code Geass: Hangyaku no Lelouch R2,8.91,TV (25 eps),Apr 2008 - Sep 2008
20,Owarimonogatari 2nd Season,8.90,TV (7 eps),Aug 2017 - Aug 2017
21,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,TV (14 eps),Jul 2018 - Oct 2018
22,Kimetsu no Yaiba: Yuukaku-hen,8.86,TV (11 eps),Dec 2021 - Feb 2022
23,Kimi no Na wa.,8.86,Movie (1 eps),Aug 2016 - Aug 2016
24,Monster,8.84,TV (74 eps),Apr 2004 - Sep 2005
25,Shingeki no Kyojin: The Final Season,8.83,TV (16 eps),Dec 2020 - Mar 2021
26,Mob Psycho 100 II,8.81,TV (13 eps),Jan 2019 - Apr 2019
27,Shingeki no Kyojin: The Final Season Part 2,8.81,TV (12 eps),Jan 2022 - Apr 2022
28,Gintama.: Shirogane no Tamashii-hen,8.81,TV (12 eps),Jan 2018 - Mar 2018
29,Kingdom 3rd Season,8.81,TV (26 eps),Apr 2020 - Oct 2021
30,Kizumonogatari III: Reiketsu-hen,8.80,Movie (1 eps),Jan 2017 - Jan 2017
31,Spy x Family,8.80,TV (12 eps),Apr 2022 - Jun 2022
32,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.79,TV (10 eps),Oct 2016 - Dec 2016
33,Kingdom 4th Season,8.79,TV (26 eps),Apr 2022 -
34,Sen to Chihiro no Kamikakushi,8.78,Movie (1 eps),Jul 2001 - Jul 2001
35,Shiguang Dailiren,8.78,ONA (11 eps),Apr 2021 - Jul 2021
36,Monogatari Series: Second Season,8.77,TV (26 eps),Jul 2013 - Dec 2013
37,Cowboy Bebop,8.75,TV (26 eps),Apr 1998 - Apr 1999
38,Hajime no Ippo,8.75,TV (75 eps),Oct 2000 - Mar 2002
39,Made in Abyss: Retsujitsu no Ougonkyou,8.74,TV (12 eps),Jul 2022 -
40,Mushishi Zoku Shou 2nd Season,8.74,TV (10 eps),Oct 2014 - Dec 2014
41,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.74,TV (12 eps),Jan 2017 - Mar 2017
42,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.73,TV (12 eps),Oct 2021 - Dec 2021
43,Odd Taxi,8.73,TV (13 eps),Apr 2021 - Jun 2021
44,Vinland Saga,8.73,TV (24 eps),Jul 2019 - Dec 2019
45,86 Part 2,8.72,TV (12 eps),Oct 2021 - Mar 2022
46,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.71,Movie (1 eps),Aug 2020 - Aug 2020
47,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,OVA (4 eps),Feb 1999 - Sep 1999
48,Mushishi Zoku Shou,8.70,TV (10 eps),Apr 2014 - Jun 2014
49,Ashita no Joe 2,8.70,TV (47 eps),Oct 1980 - Aug 1981
50,Code Geass: Hangyaku no Lelouch,8.70,TV (25 eps),Oct 2006 - Jul 2007
51,Great Teacher Onizuka,8.69,TV (43 eps),Jun 1999 - Sep 2000
52,Jujutsu Kaisen,8.67,TV (24 eps),Oct 2020 - Mar 2021
53,Made in Abyss,8.67,TV (13 eps),Jul 2017 - Sep 2017
54,Mo Dao Zu Shi: Wanjie Pian,8.67,ONA (12 eps),Aug 2021 - Oct 2021
55,Mononoke Hime,8.67,Movie (1 eps),Jul 1997 - Jul 1997
56,Mushishi,8.67,TV (26 eps),Oct 2005 - Jun 2006
57,Violet Evergarden,8.67,TV (13 eps),Jan 2018 - Apr 2018
58,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.66,Movie (1 eps),Jan 2020 - Jan 2020
59,One Piece,8.66,TV (? eps),Oct 1999 -
60,Shigatsu wa Kimi no Uso,8.66,TV (22 eps),Oct 2014 - Mar 2015
61,Hajime no Ippo: New Challenger,8.66,TV (26 eps),Jan 2009 - Jul 2009
62,Howl no Ugoku Shiro,8.66,Movie (1 eps),Nov 2004 - Nov 2004
63,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.65,TV (12 eps),Apr 2020 - Jun 2020
64,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.65,Movie (1 eps),Oct 2020 - Oct 2020
65,Natsume Yuujinchou Shi,8.65,TV (13 eps),Jan 2012 - Mar 2012
66,Haikyuu!! Second Season,8.64,TV (25 eps),Oct 2015 - Mar 2016
67,Evangelion: 3.0+1.0 Thrice Upon a Time,8.63,Movie (1 eps),Mar 2021 - Mar 2021
68,Natsume Yuujinchou Roku,8.63,TV (11 eps),Apr 2017 - Jun 2017
69,Tengen Toppa Gurren Lagann,8.63,TV (27 eps),Apr 2007 - Sep 2007
70,Ping Pong the Animation,8.62,TV (11 eps),Apr 2014 - Jun 2014
71,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.62,Movie (1 eps),Jun 2019 - Jun 2019
72,Shingeki no Kyojin Season 3,8.62,TV (12 eps),Jul 2018 - Oct 2018
73,Suzumiya Haruhi no Shoushitsu,8.62,Movie (1 eps),Feb 2010 - Feb 2010
74,Death Note,8.62,TV (37 eps),Oct 2006 - Jun 2007
75,Mushishi Zoku Shou: Suzu no Shizuku,8.60,Movie (1 eps),May 2015 - May 2015
76,Ousama Ranking,8.60,TV (23 eps),Oct 2021 - Mar 2022
