Rank,Title,Score,Chapters/Volumes,Published,Link
1,Berserk,9.46,Manga (? vols),Aug 1989 -,https://myanimelist.net/manga/2/Berserk
2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.28,Manga (24 vols),Jan 2004 - Apr 2011,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run
3,One Piece,9.20,Manga (? vols),Jul 1997 -,https://myanimelist.net/manga/13/One_Piece
4,Vagabond,9.19,Manga (37 vols),Sep 1998 - May 2015,https://myanimelist.net/manga/656/Vagabond
5,Monster,9.10,Manga (18 vols),Dec 1994 - Dec 2001,https://myanimelist.net/manga/1/Monster
6,Slam Dunk,9.06,Manga (31 vols),Sep 1990 - Jun 1996,https://myanimelist.net/manga/51/Slam_Dunk
7,Fullmetal Alchemist,9.05,Manga (27 vols),Jul 2001 - Sep 2010,https://myanimelist.net/manga/25/Fullmetal_Alchemist
8,Oyasumi Punpun,9.03,Manga (13 vols),Mar 2007 - Nov 2013,https://myanimelist.net/manga/4632/Oyasumi_Punpun
9,Grand Blue,9.03,Manga (? vols),Apr 2014 -,https://myanimelist.net/manga/70345/Grand_Blue
10,Vinland Saga,9.00,Manga (? vols),Apr 2005 -,https://myanimelist.net/manga/642/Vinland_Saga
11,Kingdom,8.98,Manga (? vols),Jan 2006 -,https://myanimelist.net/manga/16765/Kingdom
12,20th Century Boys,8.95,Manga (22 vols),Sep 1999 - Apr 2006,https://myanimelist.net/manga/3/20th_Century_Boys
13,Monogatari Series: First Season,8.95,Light Novel (6 vols),Nov 2006 - Jul 2010,https://myanimelist.net/manga/14893/Monogatari_Series__First_Season
14,Houseki no Kuni,8.95,Manga (? vols),Oct 2012 -,https://myanimelist.net/manga/44489/Houseki_no_Kuni
15,Ashita no Joe,8.93,Manga (20 vols),Jan 1968 - May 1973,https://myanimelist.net/manga/1303/Ashita_no_Joe
16,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.93,Light Novel (14 vols),May 2015 - Sep 2019,https://myanimelist.net/manga/89357/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e
17,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.93,Manga (? vols),May 2015 -,https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
18,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.93,Light Novel (? vols),Jan 2020 -,https://myanimelist.net/manga/123992/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e__2-nensei-hen
19,Mikkakan no Koufuku,8.93,Novel (1 vols),Dec 2013 - Dec 2013,https://myanimelist.net/manga/126479/Mikkakan_no_Koufuku
20,Monogatari Series: Second Season,8.91,Light Novel (6 vols),Oct 2010 - Dec 2011,https://myanimelist.net/manga/23751/Monogatari_Series__Second_Season
21,Real,8.90,Manga (? vols),1999 -,https://myanimelist.net/manga/657/Real
22,3-gatsu no Lion,8.90,Manga (? vols),Jul 2007 -,https://myanimelist.net/manga/1224/3-gatsu_no_Lion
23,GTO,8.89,Manga (25 vols),Dec 1996 - Jan 2002,https://myanimelist.net/manga/336/GTO
24,Yotsuba to!,8.87,Manga (? vols),Mar 2003 -,https://myanimelist.net/manga/104/Yotsuba_to
25,Koe no Katachi,8.86,Manga (7 vols),Aug 2013 - Nov 2014,https://myanimelist.net/manga/56805/Koe_no_Katachi
26,Haikyuu!!,8.84,Manga (45 vols),Feb 2012 - Jul 2020,https://myanimelist.net/manga/35243/Haikyuu
27,Monogatari Series: Final Season,8.84,Light Novel (6 vols),Sep 2012 - Sep 2014,https://myanimelist.net/manga/44227/Monogatari_Series__Final_Season
28,Ookami to Koushinryou,8.84,Light Novel (? vols),Feb 2006 -,https://myanimelist.net/manga/9115/Ookami_to_Koushinryou
29,Kaze no Tani no Nausicaä,8.83,Manga (7 vols),Oct 1982 - Feb 1994,https://myanimelist.net/manga/651/Kaze_no_Tani_no_Nausicaä
30,Akatsuki no Yona,8.83,Manga (? vols),Aug 2009 -,https://myanimelist.net/manga/21525/Akatsuki_no_Yona
31,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.82,Manga (9 vols),Jan 2012 - Jun 2015,https://myanimelist.net/manga/34053/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_8__Twilight_of_the_Golden_Witch
32,86,8.81,Light Novel (? vols),Feb 2017 -,https://myanimelist.net/manga/104039/86
33,Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.,8.80,Manga (3 vols),Aug 2016 - Oct 2017,https://myanimelist.net/manga/100448/Jumyou_wo_Kaitotte_Moratta_Ichinen_ni_Tsuki_Ichimanen_de
34,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.79,Light Novel (18 vols),Mar 2011 - Apr 2021,https://myanimelist.net/manga/40171/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru
